component,time_ns,iterations
trilinear_interp,106.07,100000
nn_1L_32H_silu,318.32,100000
nn_2L_128H_silu,22990.52,100000
nn_1L_32H_relu,109.25,100000
nn_2L_32H_relu,1013.45,100000
nn_1L_32H_relu_avx2,144.95,100000
nn_1L_32H_relu_avx2_aligned,34.10,100000
nn_1L_32H_relu_unrolled,103.50,100000
nn_1L_32H_relu_batch6,106.12,100000
nn_1L_32H_relu_batch6_total,636.70,100000
nn_1L_32H_relu_avx2_batch6,43.54,100000
nn_1L_32H_relu_avx2_batch6_total,261.22,100000
rk_derivative,17.09,100000
ck_single_stage_trilinear,168.85,100000
ck_full_step_trilinear,545.28,100000
ck_full_step_nn_1L_32H,2146.08,100000
ck_full_step_nn_2L_128H,135519.43,100000
ck_full_step_nn_1L_32H_relu,711.19,100000
ck_full_step_nn_2L_32H_relu,5841.79,100000
ck_full_step_nn_relu_batch6,622.52,100000
ck_full_step_nn_relu_avx2,932.97,100000
ck_full_step_nn_relu_avx2_aligned,265.16,100000
ck_full_step_nn_relu_avx2_batch6,254.10,100000
ck_full_step_nn_relu_unrolled,826.31,100000
noop_baseline,4.80,100000
std_sqrt,3.45,100000
std_exp,7.82,100000
full_track_10steps_trilinear,2915.92,10000
full_track_10steps_nn_1L_32H,21178.00,10000
full_track_10steps_nn_2L_128H,1295236.72,10000
full_track_10steps_nn_1L_32H_relu,6658.13,10000
full_track_10steps_nn_2L_32H_relu,55229.05,10000
full_track_10steps_nn_relu_batch6,5813.12,10000
full_track_10steps_nn_relu_avx2_batch6,2375.00,10000
full_track_10steps_nn_relu_avx2_aligned,2519.65,10000
full_track_10steps_nn_relu_unrolled,7634.02,10000
trilinear_interp_cold,740.21,5000
nn_1L_32H_silu_cold,1482.74,5000
ck_full_step_trilinear_cold,1110.40,5000
ck_full_step_nn_1L_32H_cold,3299.15,5000
nn_1L_32H_relu_cold,837.36,5000
nn_2L_32H_relu_cold,1837.34,5000
ck_full_step_nn_1L_32H_relu_cold,1556.57,5000
ck_full_step_nn_2L_32H_relu_cold,6624.96,5000
full_track_10steps_trilinear_cold,3511.72,1000
full_track_10steps_nn_1L_32H_cold,19941.70,1000
