experiment_id,name,date,architecture,momentum_gev,train_samples,epochs,mean_radial_error_mm,p95_radial_error_mm,mean_tx_error,mean_ty_error,speedup_factor,notes
1,baseline_v1,2025-01-01,"6-128-128-64-4",2.5,1210,2000,15.2,45.0,0.12,0.02,155,"Positive charge only - asymmetric errors"
2,baseline_v2,2025-01-02,"6-128-128-64-4",2.5,1210,2000,6.97,23.64,0.058,0.007,155,"Both charge signs - current best baseline"
